metric,value
shape_error,1.6430634906432167e-05
force_magnitude,5.592349984827924e-11
force_smoothness,1.1563606377595007e-10
curvature,1.1810880648452638e-06
length_change,4.60952217673734e-14
length_error,1.0266491678076597e-11
separation,0.0
initial_length,0.05
target_length,0.05000000000000001
final_length,0.049996795863349035
target_length_error,6.938893903907228e-18
final_length_error,-3.204136650968026e-06
max_segment_length_error,4.486488634370539e-07
mean_segment_length_error,1.6020683254833623e-07
max_length_change,4.486488634370539e-07
mean_length_change,1.6020683254833623e-07
max_curvature,0.0021274192988079937
mean_curvature,0.0009318242351783548
force_max_used,9.999999231933453e-06
total_cost,0.014797071724050374
force_location_1,19.398151471643427
force_location_2,4.15635334246808
force_location_3,10.129520323762616
force_location_start,19.398151471643427
force_location_end,10.129520323762616
force_location_mean,11.228008379291374
